neighborhood,district,crimes,population
Avondale,4,1676,12466
Bond Hill,4,812,6972
CUF,5,1400,16989
California,2,50,469
Camp Washington,5,431,1343
Carthage,4,354,2733
Clifton,5,894,8304
College Hill,5,1071,14133
Columbia Tusculum,2,165,1304
Corryville,4,557,3327
Downtown,1,1846,4850
East End,2,289,1518
East Price Hill,3,2302,15340
East Walnut Hills,2,360,3794
East Westwood,3,228,2445
English Woods,3,213,405
Evanston,2,875,9158
Hartwell,4,421,4640
Hyde Park,2,398,13356
Kennedy Heights,2,276,4847
Linwood,2,75,875
Lower Price Hill,3,375,1075
Madisonville,2,912,9141
Millvale,3,324,2399
Mt. Adams,1,147,1481
Mt. Airy,5,958,8779
Mt. Auburn,4,712,4904
Mt. Lookout,2,153,4814
Mt. Washington,2,548,11711
North Avondale,4,691,3229
North Fairmount,3,161,1812
Northside,5,1199,7467
Oakley,2,898,10429
Over-the-Rhine,1,1773,6064
Paddock Hills,4,237,959
Pendleton,1,234,900
Pleasant Ridge,2,463,8083
Queensgate,1,237,142
Riverside,3,278,2340
Roselawn,4,848,6440
Sayler Park,3,370,2765
Sedamsville,3,268,680
South Cumminsville,3,109,801
South Fairmount,3,868,2368
Spring Grove Village,5,358,1964
Villages at Roll Hill,3,450,1916
Walnut Hills,4,1381,6495
West End,1,1149,6627
West Price Hill,3,2491,17155
Westwood,3,3916,29950
Winton Hills,5,728,4787
